customerId,products
0,20
1,2|2|23|68|68|111|29|86|107|152
2,111|107|29|11|11|11|33|23
3,164|227
5,2|2
6,144|144|55|266
7,135|206|259
8,79|8|8|48
9,102|2|2|297
10,84|77|290|260
11,25|127|127
12,18|183|287|172|289
13,79|8|8|38
14,2|2|20|20|20
15,251|143
16,2
17,49|49|49|279|279|279
18,70|135
19,48|8
20,20|20|20|281|281|281|287|287|287
21,259|198
22,29|11|44|195
23,36|36|61|201
24,236|236|2
25,1|20|18|18|18|259|259|2|2|2
28,11|11|11|29|29|29
29,2|2|124|251|192|47
30,297|256
32,159
33,23|11|41|36|23|36|38|264|11|79
34,115|41|81|205|20
35,56|62
36,145|20|20|20
37,73|40|25
38,175|102|102
39,241|241|43
40,118|118|118|33|156|156|25|2|2|2
41,41|2|2
42,229|229|229|70
43,48|8|8
44,11|11|11|2|2
45,263
46,172|205|250
48,47
49,2
51,44|33
52,124|124
53,47
54,18|18|102|102|20|12
56,2
57,172|135
58,231|2|2|2
59,100|112|21
60,2|2|184|15
61,17
65,208|9|143|143
66,2
67,192
68,33
70,20|20
71,2|2
72,134|11|23|134|170|23|23|11|170|11
73,100|112
76,146
78,273
79,253
80,111|33
81,135|135
87,2|111|162|20|186|111|162|111|2|20
89,199|199|2|172
90,2|2|143
91,76|20
93,51|224|41|41
94,11|11|15
95,44|287
96,2|2|20|20|20|44|44
97,177|177|177
98,20|2|2
99,259|259|97
100,62|0|0|0|6|67
101,214|47
102,192
103,36|48
104,2
105,107|29|23|23|11|11
106,70
109,183|183|183
110,143|143
111,165|165|132|44|44|20|20|57|29
112,172|261
113,260
114,2|2|2|281
115,2
117,11
118,260
119,29|29|29|23|23|23|107|107|107
120,79|116|96|36|70
121,76|173|173|2|148
122,260|133|133
123,21|143|143
124,264
125,43
126,48|194|8|79|36|61
127,195|115
130,118
131,11|11|23|23
134,287|150
135,107|107|23|23|140
137,61|2|2|167
139,135|33|287|17|102|20|243|23|61|33
140,263|11
141,149
142,23|23|107|107|29|29|12|12|12
143,2
144,2|2
145,29|29|29|2
146,2|122|20|33
147,67|116|287|287
148,144|111|127|127
149,148|175
150,23|23|23
152,263|114|29|11|2|33
153,36|79|48|38|134|134|134|8
154,20|195
155,43|43
156,20|192|89
157,20|20|20
158,298
159,2|2
160,41|41|41|118
162,263|8|8|261
163,2
164,17|17|51|2|2|2|55
167,25|20|11|11|11|23|25|41|25|107
168,15|195|1
170,2|20
172,150|79|63|229|229|168|264|192|36
173,135|20|165|165
174,20|199|2
175,243|243|165
176,66
177,2|29|29
178,118|33|47|263
179,15
181,23
182,89|89|89|259|160|160
183,11|11
184,2|29|124|150|25
185,2
186,2|2
187,168|168
188,11|112|29
190,2|2
191,33|33
4,199|289
8,36
10,66|66|66
11,213
14,2|2|120|120|146|20|20|20
27,17
32,12|12|12
38,231|50|282
40,47|2|2|2
51,15
69,11|11|11|234|102|102|29
84,112|20
85,47
100,201|201|27
105,250
108,44|44|44
114,61|21|194|38|170|181|181|181|36|36
127,33|33|33
128,10|26|26|26
136,21|107|29|23|2|2|20|45|45
137,157
152,236
153,47|47|47
154,148
156,277|25
162,162|162|107|107|107
165,87
169,251
172,77|2|172|20|20|143|44
180,166
193,145|243|289|173|266
194,175|183|25|175|183|65|20|146|25|77
195,287|287|181|241|241|139|148|29|29
196,82|82|82|25|20
198,297|94|47
199,252|252|252|107|107|107|118|118|118
